Fin__Base_Q_Surface_final_29_7.tif,2.500,786.339
Fin_Q__Q-1-base_Q-1-base.tif,273.378,319.582
Fin_Q__Q-1-base_Q-1-top.tif,274.374,332.238
Fin_Q__Q-1-base_Q-2-base.tif,259.327,311.725
Fin_Q__Q-1-base_Q-2-top.tif,261.633,312.322
Fin_Q__Q-1-base_Q-3-base.tif,306.869,319.972
Fin_Q__Q-1-base_Q-3-top.tif,307.863,322.413
Fin_Q__Q-1-base_Q-5-base.tif,266.620,274.199
Fin_Q__Q-1-base_Q-5-top.tif,271.075,274.962
Fin_Q__Q-1-base_Q-6-base.tif,242.413,264.684
Fin_Q__Q-1-base_Q-6-top.tif,252.076,272.025
Fin__Sx_-_SegHradek__projected.tif,-124.865,194.206
Fin__Sx_-_SegHrast_Old__projected.tif,20.470,110.485
Fin__Sx_-_SegHrast_Uhl__projected.tif,34.260,283.575
Fin__Sx_-_SegHrast_Uhl_Rampa__projected.tif,69.898,190.585
Fin__Sx_-_SegKraj_CZ__projected.tif,146.065,474.087
Fin__Sx_-_SegKraj_PL__projected.tif,162.214,298.904
Fin__Sx_-_SegKrida__projected.tif,-131.922,403.680
Fin__Sx_-_SegKryst__projected.tif,235.487,786.339
Fin__Sx_-_SegRampa__projected.tif,128.682,148.369
Fin__Sx_-_SegRybarz__projected.tif,-26.244,190.308
Fin__Sx_-_SegTrVych__projected.tif,111.647,142.161
Fin__TCb1_-_SegHradek__projected.tif,-38.126,200.729
Fin__TCb1_-_SegHrast_Old__projected.tif,49.635,115.718
Fin__TCb1_-_SegHrast_Uhl__projected_17967.tif,150.538,195.546
Fin__TCb1_-_SegHrast_Uhl__projected_18750.tif,223.163,286.110
Fin__TCb1_-_SegHrast_Uhl__projected_18751.tif,138.300,223.882
Fin__TCb1_-_SegKraj_CZ__projected_18746.tif,201.133,269.052
Fin__TCb1_-_SegKraj_CZ__projected_18747.tif,201.647,205.920
Fin__TCb1_-_SegKraj_PL__projected.tif,168.081,250.061
Fin__TCb1_-_SegRampa__projected.tif,140.628,165.949
Fin__TCb1_-_SegRybarz_1__projected.tif,8.534,46.128
Fin__TCb1_-_SegRybarz__projected.tif,-16.022,264.133
Fin__TCb1_-_SegTrVych__projected_18732.tif,130.518,131.666
Fin__TCb1_-_SegTrVych__projected_18733.tif,117.194,137.554
Fin__TCb1_-_SegTrVych__projected_18734.tif,122.457,125.965
Fin__TCb2_-_SegHradek__projected_18682.tif,192.008,257.751
Fin__TCb2_-_SegHradek__projected_18684.tif,125.262,232.810
Fin__TCb2_-_SegHrast_Old__projected.tif,156.747,210.676
Fin__TCb2_-_SegHrast_Uhl__projected.tif,162.049,284.574
Fin__TCb2_-_SegHrast_Uhl_Rampa__projected.tif,138.366,222.264
Fin__TCb2_-_SegKraj_CZ__projected.tif,243.490,245.534
Fin__TCb2_-_SegKraj_PL__projected.tif,207.599,255.056
Fin__TCb2_-_SegRampa__projected_18678.tif,220.004,224.795
Fin__TCb2_-_SegRampa__projected_18679.tif,225.576,244.125
Fin__TCb2_-_SegRybarz_1__projected.tif,101.868,143.506
Fin__TCb2_-_SegRybarz__projected.tif,36.938,271.350
Fin__TCb2_-_SegTrVych__projected.tif,147.804,187.709
Fin__TCb3_-_SegHradek__projected_18668.tif,235.474,251.683
Fin__TCb3_-_SegHradek__projected_18669.tif,208.538,223.067
Fin__TCb3_-_SegHradek__projected_18670.tif,191.680,261.947
Fin__TCb3_-_SegHrast_Old__projected.tif,199.528,244.068
Fin__TCb3_-_SegHrast_Uhl__projected.tif,242.436,250.886
Fin__TCb3_-_SegHrast_Uhl_Rampa__projected.tif,216.355,222.197
Fin__TCb3_-_SegKraj_CZ__projected.tif,237.594,257.548
Fin__TCb3_-_SegKraj_PL__projected_16130.tif,223.000,223.000
Fin__TCb3_-_SegKraj_PL__projected_18723.tif,223.000,223.000
Fin__TCb3_-_SegKraj_PL__projected_18724.tif,223.000,223.000
Fin__TCb3_-_SegRybarz_1__projected.tif,201.011,208.222
Fin__TCb3_-_SegRybarz__projected.tif,169.404,239.608
Fin__TCb3_-_SegTrVych__projected.tif,211.916,234.046
Fin__TMw_-_SegHradek__projected.tif,-14.319,213.660
Fin__TMw_-_SegHrast_Old__projected.tif,52.703,119.030
Fin__TMw_-_SegHrast_Uhl__projected.tif,92.887,287.651
Fin__TMw_-_SegHrast_Uhl_Rampa__projected.tif,90.143,197.701
Fin__TMw_-_SegKraj_CZ__projected.tif,227.629,274.780
Fin__TMw_-_SegKraj_PL__projected.tif,170.833,256.813
Fin__TMw_-_SegRampa__projected.tif,149.153,171.743
Fin__TMw_-_SegRybarz_1__projected.tif,65.057,110.763
Fin__TMw_-_SegRybarz__projected.tif,8.764,286.704
Fin__TMw_-_SegTrVych__projected.tif,112.029,156.427
Fin__TNg_-_SegHradek__projected_18692.tif,239.109,256.676
Fin__TNg_-_SegHradek__projected_18693.tif,213.992,225.820
Fin__TNg_-_SegHradek__projected_18695.tif,217.401,292.330
Fin__TNg_-_SegHrast_Old__projected.tif,211.949,249.414
Fin__TNg_-_SegHrast_Uhl__projected.tif,245.208,255.807
Fin__TNg_-_SegHrast_Uhl_Rampa__projected.tif,221.783,229.443
Fin__TNg_-_SegKraj_CZ__projected.tif,268.704,289.529
Fin__TNg_-_SegKraj_PL__projected_18717.tif,228.000,228.000
Fin__TNg_-_SegKraj_PL__projected_18718.tif,228.000,228.000
Fin__TNg_-_SegRybarz_1__projected_18698.tif,206.343,214.042
Fin__TNg_-_SegRybarz_1__projected_18708.tif,206.343,214.042
Fin__TNg_-_SegRybarz__projected_18699.tif,171.560,245.071
Fin__TNg_-_SegRybarz__projected_18709.tif,171.560,245.071
Fin__TNg_-_SegTrVych__projected.tif,218.893,235.910
Fin__TNw_-_SegHradek__projected.tif,144.069,261.213
Fin__TNw_-_SegHrast_Old__projected.tif,162.586,217.923
Fin__TNw_-_SegHrast_Uhl__projected_18700.tif,259.966,271.419
Fin__TNw_-_SegHrast_Uhl__projected_18705.tif,173.132,254.636
Fin__TNw_-_SegHrast_Uhl_Rampa__projected.tif,162.297,227.077
Fin__TNw_-_SegKraj_CZ__projected.tif,241.752,264.871
Fin__TNw_-_SegKraj_PL__projected_18721.tif,210.926,256.086
Fin__TNw_-_SegKraj_PL__projected_18722.tif,222.817,247.424
Fin__TNw_-_SegRampa__projected.tif,226.997,276.963
Fin__TNw_-_SegRybarz_1__projected.tif,148.967,182.999
Fin__TNw_-_SegRybarz__projected.tif,46.626,271.706
Fin__TNw_-_SegTrVych__projected.tif,160.178,201.906
