Latitude,Longitude,WSI,FULL_NAME,GPS,ELEVATION,DIST_KM,BEGIN_DATE,END_DATE,API30,BO,C-C1Av,C-C1Co,C-C1Mn,C-C1Mx,C-C2Av,C-C2Co,C-C2Mn,C-C2Mx,C-C3Av,C-C3Co,C-C3Mn,C-C3Mx,C-H1Av,C-H1Co,C-H1Mn,C-H1Mx,C-H2Av,C-H2Co,C-H2Mn,C-H2Mx,C-H3Av,C-H3Co,C-H3Mn,C-H3Mx,C-I1Co,C-I1Md,C-I1Su,C-I2Co,C-I2Md,C-I2Su,C-I3Co,C-I3Md,C-I3Su,C-MLAv,C-MLI,Casmax,D,D10,DE,Dmax,Dprum,E,F,Fmax,Fprum,Gph850,Gph925,H,JI,KR,LE,ML,MS,N,NA,P,P_hm,RDIF10,RDIF1H,RDIR1H,REUV10,REUV1H,RGLB10,RGLB1H,RGLB_D,RLWD1H,RO,SCE,SCEa,SCEdif,SN,SNO,SRA,SRA10M,SRA1H,SSV,SSV10M,SSV1H,SV,SVH,SVHa,T,T05,T10,T100,T20,T50,TMA,TMI,TMInoc,TPM,Td,VV,VY,W1,W2,ppp,ww
50.83897,14.87175,0-203-0-20407036001,Chotyně,"50.838970,14.871750",260,3.46294604288389,2016-05-11T15:40:00Z,3999-12-31T23:59:00Z,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50.81872,14.95861,0-203-0-20407034001,Chrastava,"50.818720,14.958610",314,6.84029514503665,2013-09-10T00:00:00Z,3999-12-31T23:59:00Z,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50.82725,15.05856,0-203-0-20407027001,"Mníšek, Fojtka","50.827250,15.058560",395,12.1812250585602,2011-08-01T00:00:00Z,3999-12-31T23:59:00Z,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50.77206,14.77375,0-203-0-11552,Jablonné v Podještědí,"50.772060,14.773750",320,13.5342937312659,2011-08-01T00:00:00Z,3999-12-31T23:59:00Z,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False
50.76972,15.02389,0-20000-0-11603,Liberec,"50.769720,15.023890",397.72,13.9633979414045,2013-01-01T00:00:00Z,3999-12-31T23:59:00Z,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
50.96594,15.01814,0-203-0-20410022001,Višňová,"50.965940,15.018140",248,14.0179615549397,2008-09-09T00:00:00Z,3999-12-31T23:59:00Z,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50.738722,14.907056,0-203-0-11403005001,Křižany,"50.738722,14.907056",395,14.1721465650242,2016-11-29T00:00:00Z,3999-12-31T23:59:00Z,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50.91785,15.09015,0-203-0-11601,Frýdlant,"50.917850,15.090150",337,14.7706909219394,2014-06-05T00:00:00Z,3999-12-31T23:59:00Z,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
50.80967,14.676,0-203-0-11403041001,Mařenice,"50.809670,14.676000",395,16.6875775215132,2005-08-01T00:00:00Z,3999-12-31T23:59:00Z,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50.81511,15.13708,0-203-0-11602,Bedřichov,"50.815110,15.137080",777,17.8304425623542,2004-12-01T00:00:00Z,3999-12-31T23:59:00Z,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
50.70361,14.80739,0-203-0-11557,Stráž pod Ralskem,"50.703610,14.807390",310,19.1067437270533,2004-12-01T00:00:00Z,3999-12-31T23:59:00Z,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
50.81445,15.158215,0-203-0-10501059001,"Bedřichov, Nová louka","50.814450,15.158215",780,19.2653816328381,2015-01-01T00:00:00Z,3999-12-31T23:59:00Z,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
